job_category,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
4,70-79,0.03861695,0.03847868499999999,0.038758512499999995,0.03868623696668522,0.03854698676506049,0.038825969892815,TRUE
5,70-79,0.03445215,0.0343148,0.034586105000000006,0.03449999496060144,0.034368223639481006,0.03463225338676303,TRUE
6,70-79,8.681635000000001e-4,8.6376875e-4,8.727501250000001e-4,5.081620550721819e-4,4.921198110425843e-4,5.247269736230495e-4,FALSE
7,70-79,0.00223171,0.00219787775,0.002266841,0.002232998363148867,0.0021991153108340323,0.0022674022850946345,TRUE
8,70-79,0.0207987,0.020697497500000002,0.0209027025,0.02083042205916363,0.020727369096495373,0.020933976430885508,TRUE
9,70-79,0.0406917,0.0405505,0.0408311025,0.040750074978078615,0.04060730500740215,0.040893325513634164,TRUE
10,70-79,0.002124855,0.00209125775,0.00215699125,0.002124719394030029,0.00209167264331228,0.002158287127683182,TRUE
11,70-79,0.0165799,0.016493197499999997,0.016669902500000004,0.01659964266578191,0.01650747841798753,0.016692312749770514,TRUE
12,70-79,0.0153179,0.0152292925,0.015410104999999999,0.015337341425790225,0.015248704163680784,0.015426485844981729,TRUE
13,70-79,0.0125937,0.0125117975,0.01267531,0.012616474801781387,0.012535996897708911,0.01269746271008487,TRUE
14,70-79,0.0125348,0.0124551,0.012617102499999998,0.01255164362027124,0.01247137079912121,0.012632426513492442,TRUE
15,70-79,0.00796787,0.007905357,0.008030520749999999,0.007974507725670396,0.00791042926788776,0.00803910104509659,TRUE
16,70-79,0.01904965,0.0189493975,0.019151204999999998,0.019072080560642624,0.018973395932230946,0.01917126843805851,TRUE
17,70-79,8.68629e-4,8.64142625e-4,8.734507499999999e-4,5.546062418262998e-4,5.37835795785822e-4,5.718993137882683e-4,FALSE
18,70-79,0.0402682,0.040125797500000004,0.04041322000000001,0.040316278101797484,0.04017423942577722,0.04045879779662733,TRUE
19,70-79,0.0028948100000000003,0.0028563564999999997,0.0029346802499999997,0.002897517973627874,0.0028588978012987105,0.002936658320226319,TRUE
20,70-79,0.0200426,0.01993929,0.020148,0.02007097107575905,0.019969779827066204,0.020172664528204546,TRUE
21,70-79,0.66715,0.666807,0.667492025,0.6680405156748449,0.6676997996913985,0.6683810558185889,FALSE
